File,Worstcase,Averagecase,Bestcase,Mean,Variance,Standard Deviation,Measurement
ggt_div.ll,32.35816,32.35816,32.35816,32.35816,0.0,0.0,0.30611
fibonacci_rek.ll,0.12116,0.07622,0.07622,0.0912,0.00045,0.02118,4.84171
fibonacci_it.ll,110.34155,110.34155,0.14754,73.61021,2698.38219,51.94595,0.32286
ggt_sub.ll,64.54989,64.54989,64.54989,64.54989,0.0,0.0,33.4436
