iterations,duration,call,division,memory,other,programflow
0,0.0000221,0,0,0,0,0
100,0.423259328,0.0190777587890625,0.0181719970703125,0.0174365234375,0.0171807861328125,0.018040771484375
200,3.88105987,0.0168515014648438,0.00654998779296875,0.00735870361328125,0.00652618408203125,0.00665985107421875
300,5.360437392,0.00643961588541667,0.0112910970052083,0.006466064453125,0.0176143391927083,0.0060797119140625
400,1.897352031,0.0168551635742188,0.0177946472167969,0.0175930786132813,0.017315673828125,0.0176995849609375
500,7.125168338,0.0066888427734375,0.0179620361328125,0.0066680908203125,0.0177548828125,0.0101954345703125
600,6.612486512,0.00676055908203125,0.0172072347005208,0.00922159830729167,0.0176954142252604,0.0180326334635417
700,7.599150644,0.00645751953125,0.0173509870256696,0.00922528948102679,0.0177680315290179,0.0175965227399554
800,7.480634962,0.00653755187988281,0.0178462219238281,0.0139752960205078,0.0175707244873047,0.0182780456542969
900,6.473849844,0.00927476671006944,0.0186286756727431,0.017581787109375,0.0181464979383681,0.0175869411892361
1000,8.532860579,0.0067008056640625,0.0174984741210938,0.016572021484375,0.0176190795898438,0.0175180053710938
1100,8.749458088,0.00665865811434659,0.017510819868608,0.0184773947975852,0.0175995427911932,0.0173943536931818
1200,20.804370432,0.00761886596679688,0.00693567911783854,0.0180285135904948,0.00706400553385417,0.0109813435872396
1300,5.71932651,0.0181494610126202,0.0177922175480769,0.017691885141226,0.0178186974158654,0.0176138540414663
1400,5.981849411,0.0176900373186384,0.0178477696010045,0.0175194440569196,0.0185480608258929,0.0178468976702009
1500,14.664832701,0.00943111165364583,0.0175752766927083,0.017902587890625,0.0101060791015625,0.017634765625
1600,27.505577817,0.0105038833618164,0.00690509796142578,0.0178987503051758,0.00664020538330078,0.00894393920898438
1700,11.369854286,0.0103945743336397,0.0173685948988971,0.0178085506663603,0.0173195872587316,0.0173915369370404
1800,21.742257229,0.0112245347764757,0.0114084879557292,0.0174453396267361,0.00638875325520833,0.0173474460177951
1900,41.52949419,0.00935922723067434,0.00630261872944079,0.00649606805098684,0.00635835346422697,0.00639969675164474
2000,12.725282205,0.0114276428222656,0.017681396484375,0.0173649597167969,0.0176022644042969,0.0175172729492188
2100,39.952499139,0.0112186686197917,0.00667887369791667,0.0132550048828125,0.00635875883556548,0.0068012927827381
2200,19.740602682,0.0117887184836648,0.0174758078835227,0.0170977228338068,0.00913521506569602,0.0174156882546165
2300,34.071443345,0.0144365393597147,0.00660429581351902,0.017799656080163,0.00655565344769022,0.0111616051715353
2400,14.19959056,0.0128653971354167,0.0174607849121094,0.0174197133382161,0.0175748443603516,0.0174832916259766
2500,14.850120283,0.012574365234375,0.0174521240234375,0.017711767578125,0.0175278564453125,0.0174476318359375
2600,43.511789701,0.0132091580904447,0.00652761606069712,0.017350346491887,0.00645986703725962,0.00728140024038462
2700,25.972402082,0.011750646520544,0.0171711787471065,0.00739628544560185,0.0175864890769676,0.017671214916088
2800,55.978131243,0.00767244611467634,0.00643999372209821,0.00635094778878348,0.0138288007463728,0.00647216796875
2900,60.154228516,0.00794928188981681,0.00633822737068966,0.00905229239628233,0.00803121632543104,0.00623600400727371
3000,16.73209392,0.0134769287109375,0.0171759440104167,0.0175597330729167,0.0172697550455729,0.0173430786132813
3100,34.19429254,0.0138853996030746,0.0116557065902218,0.0173901760962702,0.0070545418031754,0.0175995463709677
