File,Analyse,Ausführung
insertionSort.ll,4.1821e-05,0.320605
addition.ll,1.3198e-05,0.0119702
linsearch.ll,4.3511e-05,0.206136
bubblesort.ll,4.1033e-05,0.572902
variance.ll,1.3179e-05,0.0122183
binarysearch.ll,3.9325e-05,0.803085
