File,Worstcase,Averagecase,Bestcase,Mean,Variance,Standard Deviation,Measurement
insertionSort.ll,2194752.66836,1549487.71474,1549487.71474,1764576.03262,92525968969.23334,304180.81624,2.99743
addition.ll,0.02546,0.02546,0.02546,0.02546,0.0,0.0,0.10476
linsearch.ll,97.58857,97.58857,0.88132,65.35282,2078.28709,45.58823,1.81962
bubblesort.ll,3809921.51787,515.59495,515.59495,1270317.56925,3224794107908.192,1795771.17359,5.15258
variance.ll,0.16628,0.16628,0.16628,0.16628,0.0,0.0,0.10931
binarysearch.ll,0.8558,0.8558,0.8558,0.8558,0.0,0.0,6.62261
