iterations,duration,call,division,memory,other,programflow
0,5.1308e-05,0.0,0.0,0.0,0.0,0.0
100,1.443633563,0.008489990234375,0.01347412109375,0.00385986328125,0.0103179931640625,0.008719482421875
200,3.658211969,0.004388427734375,0.00565643310546875,0.00582366943359375,0.0059588623046875,0.00351898193359375
300,5.464690933,0.007505289713541667,0.0081036376953125,0.005966593424479166,0.004580485026041667,0.0041544596354166664
400,7.207467747,0.009368743896484375,0.004629669189453125,0.004615478515625,0.0066326904296875,0.00548309326171875
500,9.068777926,0.006550537109375,0.003591552734375,0.0045726318359375,0.0053052978515625,0.0089351806640625
600,10.525977219,0.009283243815104167,0.004720357259114584,0.005944620768229166,0.006053975423177083,0.006884053548177083
700,12.123295576,0.008304792131696428,0.004280569893973215,0.0045867919921875,0.008660627092633929,0.008125523158482143
800,13.648424683,0.005486221313476563,0.010006256103515625,0.00612457275390625,0.005552902221679688,0.004558944702148437
900,16.720513487,0.005757988823784722,0.005796847873263889,0.0068484836154513885,0.0050719536675347225,0.006250881618923611
1000,16.412245186,0.0062451171875,0.00761993408203125,0.00687945556640625,0.006130859375,0.00669195556640625
1100,19.300575358,0.005828413529829546,0.006248668323863636,0.006739280007102273,0.005889171253551136,0.005619839754971591
1200,21.057675207,0.007209574381510417,0.0057879638671875,0.0068923441569010415,0.005579935709635417,0.006456858317057292
1300,22.112433302,0.0066900634765625,0.007890484149639424,0.006546771709735577,0.005082303560697115,0.0070709228515625
1400,24.64743281,0.0065668160574776785,0.005998447963169643,0.0050177001953125,0.007560206821986607,0.0070692661830357145
1500,26.353160122,0.006318115234375,0.006163818359375,0.006159993489583333,0.006834065755208334,0.0058077392578125
1600,27.162968277,0.0058269500732421875,0.006136093139648437,0.00615692138671875,0.006837425231933594,0.006810722351074219
1700,28.681409659,0.007568897920496324,0.007089592428768382,0.006074039234834559,0.006747400620404412,0.006609999712775735
1800,31.562174926,0.006502346462673611,0.005588344997829861,0.006315646701388889,0.006682094997829861,0.0063788519965277775
1900,32.395077218,0.007160451788651316,0.006767160516036185,0.006001040810032895,0.006603008069490131,0.006392533151726974
2000,34.937205609,0.005639251708984375,0.006307647705078125,0.006566925048828125,0.00684735107421875,0.0064906005859375
2100,36.919630554,0.006319202241443452,0.006071748279389881,0.006225760323660714,0.006233578636532738,0.006763218470982143
2200,37.979186441,0.0069576471502130685,0.006123463023792614,0.005880210182883523,0.006530955921519886,0.006817127574573863
2300,39.71929528,0.006216085682744565,0.006483738111413044,0.006507647970448369,0.006323454483695652,0.006227655825407609
2400,40.662998722,0.006902084350585937,0.006342748006184896,0.005667368570963542,0.006743316650390625,0.0068541971842447915
2500,43.50120987,0.0060669921875,0.0061249267578125,0.00614775390625,0.0061279052734375,0.006735693359375
2600,45.557791081,0.006852510892427884,0.005873131385216346,0.006050391564002404,0.007233863243689903,0.006186593862680288
2700,47.220084108,0.005619845920138889,0.006457926432291667,0.005966751663773148,0.006042050962094907,0.0071289514612268515
